"Interface","quad.0","I","II","III","IV","Underutilized","Counterintuitive"
"PJM - MISO","6.9%","22.8%","48.5%","5.5%","16.3%","64.8%","28.3%"
"PJM - NYISO","7.7%","14.8%","17.5%","9.6%","50.3%","67.8%","24.5%"
"NYISO - ISO-NE","11.3%","54.1%","18.6%","8.5%","7.6%","26.1%","62.6%"
