"Interface","quad.0","I","II","III","IV","Underutilized","Counterintuitive"
"PJM - MISO","10.4%","22.1%","56.4%","3.4%","7.6%","64.1%","25.5%"
"PJM - NYISO","12.1%","15.5%","33.4%","1.9%","37.1%","70.5%","17.4%"
"NYISO - ISO-NE","15.2%","25.5%","8.2%","32.9%","18.2%","26.4%","58.4%"
