Generator,Category
1_1_Carlls_Corner,Combustion turbine (Natural Gas)
1_1_Coughlin_Power_Station,Combustion turbine (Natural Gas)
1_1_Crossroads_Energy_Center,Combustion turbine (Natural Gas)
1_1_Cumberland__NJ_,Combustion turbine (Natural Gas)
1_1_Cunningham,Combustion turbine (Natural Gas)
1_1_Delaware_City_Plant,Combustion turbine (Natural Gas)
1_1_DeSoto_County_Plant,Combustion turbine (Natural Gas)
1_1_Dickerson,Combustion turbine (Natural Gas)
1_1_East_River,Combustion turbine (Natural Gas)
1_1_East_Windsor_Cogeneration_Centre,Combustion turbine (Natural Gas)
1_1_Elk_Station,Combustion turbine (Natural Gas)
1_1_Empire_Energy_Center,Combustion turbine (Natural Gas)
1_1_Essential_Power_Rock_Springs_LLC,Combustion turbine (Natural Gas)
1_1_ExxonMobil_Baton_Rouge_Cogen,Combustion turbine (Natural Gas)
1_1_ExxonMobil_Beaumont_Refinery,Combustion turbine (Natural Gas)
1_1_Freeport_Energy,Combustion turbine (Natural Gas)
1_1_Geismar,Combustion turbine (Natural Gas)
1_1_Gordon_Evans_Energy_Center,Combustion turbine (Natural Gas)
1_1_Greenland_Energy_Center,Combustion turbine (Natural Gas)
1_1_Hardee_Power_Station,Combustion turbine (Natural Gas)
1_1_Hardin_County_Peaking_Facility,Combustion turbine (Natural Gas)
1_1_Hargis_Hebert_Electric_Generating,Combustion turbine (Natural Gas)
1_1_Harry_D_Mattison_Gas_Plant,Combustion turbine (Natural Gas)
1_1_Holden,Combustion turbine (Natural Gas)
1_1_Indian_River_Plant,Combustion turbine (Natural Gas)
1_1_J_D_Kennedy,Combustion turbine (Natural Gas)
1_1_J_K_Smith,Combustion turbine (Natural Gas)
1_1_John_S_Rainey,Combustion turbine (Natural Gas)
1_1_Johnsonville,Combustion turbine (Natural Gas)
1_1_Lennox,Combustion turbine (Natural Gas)
1_1_Marshall_Energy_Facility,Combustion turbine (Natural Gas)
1_1_Meadow_Lake,Combustion turbine (Natural Gas)
1_1_Midulla_Generating_Station,Combustion turbine (Natural Gas)
1_1_Millbank,Combustion turbine (Natural Gas)
1_1_Narrows_Gas_Turbines_Generating,Combustion turbine (Natural Gas)
1_1_Nodaway,Combustion turbine (Natural Gas)
1_1_NRG_Sterlington_Power,Combustion turbine (Natural Gas)
1_1_Oleander_Power_Project_LP,Combustion turbine (Natural Gas)
1_1_Port_Jefferson,Combustion turbine (Natural Gas)
1_1_Portlands_Energy_Centre,Combustion turbine (Natural Gas)
1_1_Procter___Gamble_Mehoopany_Mill,Combustion turbine (Natural Gas)
1_1_PSEG_Burlington_Generating_Station,Combustion turbine (Natural Gas)
1_1_PSEG_Kearny_Generating_Station,Combustion turbine (Natural Gas)
1_1_Riverton,Combustion turbine (Natural Gas)
1_1_Robert_A__Dunford_Generating_Station,Combustion turbine (Natural Gas)
1_1_Saint_John,Combustion turbine (Natural Gas)
1_1_San_Jacinto_County_Peaking_Facility,Combustion turbine (Natural Gas)
1_1_Shady_Hills_Generating_Station,Combustion turbine (Natural Gas)
1_1_Silver_Creek,Combustion turbine (Natural Gas)
1_1_Southwestern,Combustion turbine (Natural Gas)
1_1_Spring_Creek_Energy_Center,Combustion turbine (Natural Gas)
1_1_Sumpter,Combustion turbine (Natural Gas)
1_1_Suwannee_River,Combustion turbine (Natural Gas)
1_1_T_J_Labbe_Electric_Generating,Combustion turbine (Natural Gas)
1_1_Vandolah_Power_Station,Combustion turbine (Natural Gas)
1_1_Weleetka,Combustion turbine (Natural Gas)
1_1_West_Point__PA_,Combustion turbine (Natural Gas)
1_1_WFEC_GenCo_LLC,Combustion turbine (Natural Gas)
1_1_Worthington_Generation_LLC,Combustion turbine (Natural Gas)
1_1_York_Energy_Centre,Combustion turbine (Natural Gas)
1_13_NA,Combustion turbine (Natural Gas)
1_14_NA,Combustion turbine (Natural Gas)
1_2_Allen_Steam_Plant,Combustion turbine (Natural Gas)
1_2_Midulla_Generating_Station,Combustion turbine (Natural Gas)
1_2_NRG_Sterlington_Power,Combustion turbine (Natural Gas)
1_2_PSEG_Burlington_Generating_Station,Combustion turbine (Natural Gas)
1_2_PSEG_Kearny_Generating_Station,Combustion turbine (Natural Gas)
1_2_Spring_Creek_Energy_Center,Combustion turbine (Natural Gas)
1_2_Worthington_Generation_LLC,Combustion turbine (Natural Gas)
1_3_Allen_Steam_Plant,Combustion turbine (Natural Gas)
1_30_Suwannee_River,Combustion turbine (Natural Gas)
1_4_Allen_Steam_Plant,Combustion turbine (Natural Gas)
1_9_NA,Combustion turbine (Natural Gas)
1_A_Asheville,Combustion turbine (Natural Gas)
1_A_L_Pierce,Combustion turbine (Natural Gas)
1_A_NA,Combustion turbine (Natural Gas)
1_A1_NA,Combustion turbine (Natural Gas)
1_A2_NA,Combustion turbine (Natural Gas)
1_Ajax,Combustion turbine (Natural Gas)
1_AL_Sandersville_LLC,Combustion turbine (Natural Gas)
1_Alliant_Energy_Neenah,Combustion turbine (Natural Gas)
1_Alsey,Combustion turbine (Natural Gas)
1_AMEA_Peaking,Combustion turbine (Natural Gas)
1_Anderson,Combustion turbine (Natural Gas)
1_Androscoggin_Energy_Center,Combustion turbine (Natural Gas)
1_Armstrong,Combustion turbine (Natural Gas)
1_Asbury_Park_Press,Combustion turbine (Natural Gas)
1_Auburn,Combustion turbine (Natural Gas)
1_Auburndale_Peaker_Energy_Center,Combustion turbine (Natural Gas)
1_Audrain_Generating_Station,Combustion turbine (Natural Gas)
1_Aurora,Combustion turbine (Natural Gas)
1_Bayonne_Energy_Center,Combustion turbine (Natural Gas)
1_Bayswater_Peaking_Facility_LLC,Combustion turbine (Natural Gas)
1_Becancour__HYQU_,Combustion turbine (Natural Gas)
1_Big_Sandy_Peaker_Plant,Combustion turbine (Natural Gas)
1_Blossburg,Combustion turbine (Natural Gas)
1_Bluegrass_Generating_Station,Combustion turbine (Natural Gas)
1_Boulevard,Combustion turbine (Natural Gas)
1_Bowline_Point,Combustion turbine (Natural Gas)
1_Bowling_Green_Generating_Station,Combustion turbine (Natural Gas)
1_Bowling_Green_Peaking,Combustion turbine (Natural Gas)
1_Brandon_Station,Combustion turbine (Natural Gas)
1_Broad_River_Energy_Center,Combustion turbine (Natural Gas)
1_Broken_Bow,Combustion turbine (Natural Gas)
1_Bronx__1stroc_,Combustion turbine (Natural Gas)
1_Brownsville_Peaking_Power,Combustion turbine (Natural Gas)
1_Buchanan_Generation_LLC,Combustion turbine (Natural Gas)
1_Burnside,Combustion turbine (Natural Gas)
1_Calhoun_Energy_Center,Combustion turbine (Natural Gas)
1_Calumet_Energy_Team_LLC,Combustion turbine (Natural Gas)
1_Calvert_City,Combustion turbine (Natural Gas)
1_Cannon_Falls_Energy_Center,Combustion turbine (Natural Gas)
1_Carlsbad,Combustion turbine (Natural Gas)
1_Carthage,Combustion turbine (Natural Gas)
1_Cascade_Creek,Combustion turbine (Natural Gas)
1_Cass_County,Combustion turbine (Natural Gas)
1_Ceredo_Generating_Station,Combustion turbine (Natural Gas)
1_Charleston__WVC_,Combustion turbine (Natural Gas)
1_Chillicothe,Combustion turbine (Natural Gas)
1_Clayville,Combustion turbine (Natural Gas)
1_Cleveland_Cnty_Generating_Facility,Combustion turbine (Natural Gas)
1_Clifton,Combustion turbine (Natural Gas)
1_Collinwood,Combustion turbine (Natural Gas)
1_Columbia_Energy_Center,Combustion turbine (Natural Gas)
1_Concord,Combustion turbine (Natural Gas)
1_Coralville_GT,Combustion turbine (Natural Gas)
1_Crete,Combustion turbine (Natural Gas)
1_Crete_Energy_Venture_LLC,Combustion turbine (Natural Gas)
1_Culbertson_Generation_Station,Combustion turbine (Natural Gas)
1_Curtis,Combustion turbine (Natural Gas)
1_Custer_Energy_Center,Combustion turbine (Natural Gas)
1_Dahlberg,Combustion turbine (Natural Gas)
1_Darby_Electric_Generating_Station,Combustion turbine (Natural Gas)
1_Darbytown,Combustion turbine (Natural Gas)
1_De_Pere_Energy_Center,Combustion turbine (Natural Gas)
1_Don_Henry,Combustion turbine (Natural Gas)
1_Doyle_Energy_Facility,Combustion turbine (Natural Gas)
1_Dupont_Maitland,Combustion turbine (Natural Gas)
1_East_Campus_Steam_Plant,Combustion turbine (Natural Gas)
1_Edward_L__Addison_Generating_Plant,Combustion turbine (Natural Gas)
1_Electrifarm,Combustion turbine (Natural Gas)
1_Elgin_Energy_Center_LLC,Combustion turbine (Natural Gas)
1_Elizabeth_River_Power_Station,Combustion turbine (Natural Gas)
1_Elk_Mound,Combustion turbine (Natural Gas)
1_Elk_River_Peaking,Combustion turbine (Natural Gas)
1_Elkins_Generating_Center,Combustion turbine (Natural Gas)
1_Elwood_Energy_LLC,Combustion turbine (Natural Gas)
1_Emporia_Energy_Center,Combustion turbine (Natural Gas)
1_Energy_Shelby_County,Combustion turbine (Natural Gas)
1_Ermine,Combustion turbine (Natural Gas)
1_Essential_Power_Massachusetts_LLC,Combustion turbine (Natural Gas)
1_Essex,Combustion turbine (Natural Gas)
1_Exira,Combustion turbine (Natural Gas)
1_ExxonMobil_Baton_Rouge_Turbine_Generator,Combustion turbine (Natural Gas)
1_FirstEnergy_Springdale_1___2,Combustion turbine (Natural Gas)
1_Fitchburg,Combustion turbine (Natural Gas)
1_Foothills_Generating_LLC,Combustion turbine (Natural Gas)
1_Forked_River,Combustion turbine (Natural Gas)
1_Fort_Chicago_London_Cogen,Combustion turbine (Natural Gas)
1_Fort_Frances,Combustion turbine (Natural Gas)
1_Frank_M_Tait,Combustion turbine (Natural Gas)
1_Freedom_Power_Project,Combustion turbine (Natural Gas)
1_Fremont_Community_Digester,Combustion turbine (Natural Gas)
1_Fulton__AR_,Combustion turbine (Natural Gas)
1_G_Woodsdale,Combustion turbine (Natural Gas)
1_Gardner_Energy_Center,Combustion turbine (Natural Gas)
1_Gaylord___Wolverine,Combustion turbine (Natural Gas)
1_Gibson_City_Energy_Center_LLC,Combustion turbine (Natural Gas)
1_Gillette_SBMC,Combustion turbine (Natural Gas)
1_Gleason_Generating_Facility,Combustion turbine (Natural Gas)
1_Glendive_GT,Combustion turbine (Natural Gas)
1_Goose_Creek_Energy_Center,Combustion turbine (Natural Gas)
1_Grand_Manan,Combustion turbine (Natural Gas)
1_Great_Northern_Trigen_Facility,Combustion turbine (Natural Gas)
1_Greenville_Electric_Generating_Station,Combustion turbine (Natural Gas)
1_Greenwood__MO_,Combustion turbine (Natural Gas)
1_Groton_Generating_Station,Combustion turbine (Natural Gas)
1_Haefling,Combustion turbine (Natural Gas)
1_Hagood,Combustion turbine (Natural Gas)
1_Handsome_Lake_Energy_LLC,Combustion turbine (Natural Gas)
1_Harlem_River_Yard,Combustion turbine (Natural Gas)
1_Hartwell_Energy_Facility,Combustion turbine (Natural Gas)
1_Hawk_Road_Facility,Combustion turbine (Natural Gas)
1_Hazelton,Combustion turbine (Natural Gas)
1_Hell_Gate,Combustion turbine (Natural Gas)
1_Henry_County,Combustion turbine (Natural Gas)
1_Higginsville,Combustion turbine (Natural Gas)
1_Hillburn,Combustion turbine (Natural Gas)
1_Howard_Down,Combustion turbine (Natural Gas)
1_Hurley_Plant,Combustion turbine (Natural Gas)
1_Indiana_University_of_Pennsylvania,Combustion turbine (Natural Gas)
1_Interstate,Combustion turbine (Natural Gas)
1_Inver_Hills,Combustion turbine (Natural Gas)
1_Iola,Combustion turbine (Natural Gas)
1_Island_Station,Combustion turbine (Natural Gas)
1_J_Street,Combustion turbine (Natural Gas)
1_James_River_Power_Station,Combustion turbine (Natural Gas)
1_Joseph_J_Seymour_Power_Project,Combustion turbine (Natural Gas)
1_Kalamazoo_River_Generating_Station,Combustion turbine (Natural Gas)
1_Kalkaska_CT__1,Combustion turbine (Natural Gas)
1_Kingfisher,Combustion turbine (Natural Gas)
1_Kinmundy,Combustion turbine (Natural Gas)
1_Ladysmith,Combustion turbine (Natural Gas)
1_Lakefield_Junction,Combustion turbine (Natural Gas)
1_Landis,Combustion turbine (Natural Gas)
1_LCEC_Generation_LLVC,Combustion turbine (Natural Gas)
1_Lee_County,Combustion turbine (Natural Gas)
1_Lee_Energy_Facility,Combustion turbine (Natural Gas)
1_Lincoln_Combustion,Combustion turbine (Natural Gas)
1_Lincoln_Generating_Facility,Combustion turbine (Natural Gas)
1_Livingston_Generating_Station,Combustion turbine (Natural Gas)
1_Lon_Wright,Combustion turbine (Natural Gas)
1_Lonesome_Creek_Station,Combustion turbine (Natural Gas)
1_Lowell,Combustion turbine (Natural Gas)
1_Maddox,Combustion turbine (Natural Gas)
1_Madelia,Combustion turbine (Natural Gas)
1_Madison,Combustion turbine (Natural Gas)
1_Madison_Utilities,Combustion turbine (Natural Gas)
1_Marina_Thermal_Facility,Combustion turbine (Natural Gas)
1_Marshfield_Utilities_Gas_Plant,Combustion turbine (Natural Gas)
1_McCartney,Combustion turbine (Natural Gas)
1_McPherson_3,Combustion turbine (Natural Gas)
1_Medina_Power_Co_,Combustion turbine (Natural Gas)
1_MEPI_GT_Facility,Combustion turbine (Natural Gas)
1_Mickleton_Station,Combustion turbine (Natural Gas)
1_Mill_Creek__SC_,Combustion turbine (Natural Gas)
1_Minnesota_River,Combustion turbine (Natural Gas)
1_Moline,Combustion turbine (Natural Gas)
1_Montpelier_Electric_Generating_Station,Combustion turbine (Natural Gas)
1_Moselle,Combustion turbine (Natural Gas)
1_MPC_Generating,Combustion turbine (Natural Gas)
1_Municipal_Power_Plant,Combustion turbine (Natural Gas)
1_NAEA_Ocean_Peaking_Power_LLC,Combustion turbine (Natural Gas)
1_Napoleon_Peaking_Station,Combustion turbine (Natural Gas)
1_Natural_Dam,Combustion turbine (Natural Gas)
1_Nebraska_City___1,Combustion turbine (Natural Gas)
1_NECCO_Co_Generation,Combustion turbine (Natural Gas)
1_North_1st,Combustion turbine (Natural Gas)
1_Nottingham_H_Sch,Combustion turbine (Natural Gas)
1_NRG_Energy_Center_Dover,Combustion turbine (Natural Gas)
1_Osawatomie,Combustion turbine (Natural Gas)
1_Osceola__FL_,Combustion turbine (Natural Gas)
1_Oxford__NE_,Combustion turbine (Natural Gas)
1_Paragould_Turbine,Combustion turbine (Natural Gas)
1_Paris__WI_,Combustion turbine (Natural Gas)
1_Paxton_Creek_Cogeneration,Combustion turbine (Natural Gas)
1_Peno_Creek,Combustion turbine (Natural Gas)
1_Pinckneyville,Combustion turbine (Natural Gas)
1_Pioneer_Generating_Station,Combustion turbine (Natural Gas)
1_Pleasant_Hill,Combustion turbine (Natural Gas)
1_Pleasant_Valley__MN_,Combustion turbine (Natural Gas)
1_Pleasants_Energy_LLC,Combustion turbine (Natural Gas)
1_Poplar_Bluff_Generating_Station,Combustion turbine (Natural Gas)
1_Potter_Station_2,Combustion turbine (Natural Gas)
1_Pouch,Combustion turbine (Natural Gas)
1_PPS_Power_Plant_No_1,Combustion turbine (Natural Gas)
1_Pratt___Whitney,Combustion turbine (Natural Gas)
1_PSEG_Essex_Generating_Station,Combustion turbine (Natural Gas)
1_Pulliam,Combustion turbine (Natural Gas)
1_Raccoon_Creek_Energy_Center,Combustion turbine (Natural Gas)
1_Red_Cedar,Combustion turbine (Natural Gas)
1_Red_Lion_Energy_Center,Combustion turbine (Natural Gas)
1_Remington,Combustion turbine (Natural Gas)
1_Renaissance_Power_Plant,Combustion turbine (Natural Gas)
1_Richmond,Combustion turbine (Natural Gas)
1_Riverside_Generating_LLC,Combustion turbine (Natural Gas)
1_Robert_P_Mone_Plant,Combustion turbine (Natural Gas)
1_RockGen_Energy_Center,Combustion turbine (Natural Gas)
1_Rockingham_County_CT_Station,Combustion turbine (Natural Gas)
1_Rockport__MO_,Combustion turbine (Natural Gas)
1_Rocky_Road_Power_LLC,Combustion turbine (Natural Gas)
1_Rokeby,Combustion turbine (Natural Gas)
1_Rolling_Hills_Generating,Combustion turbine (Natural Gas)
1_Rowan,Combustion turbine (Natural Gas)
1_Rubart,Combustion turbine (Natural Gas)
1_S_A_Carlson,Combustion turbine (Natural Gas)
1_Sabine_River_Works,Combustion turbine (Natural Gas)
1_Sharon_Spring,Combustion turbine (Natural Gas)
1_Sheboygan_Falls,Combustion turbine (Natural Gas)
1_Shoemaker,Combustion turbine (Natural Gas)
1_Smarr_Energy_Center,Combustion turbine (Natural Gas)
1_Solway_CT,Combustion turbine (Natural Gas)
1_South_Fond_Du_Lac,Combustion turbine (Natural Gas)
1_South_Harper,Combustion turbine (Natural Gas)
1_Southbridge_Energy_Center_LLC,Combustion turbine (Natural Gas)
1_Sowega_Power,Combustion turbine (Natural Gas)
1_Ste__Rose,Combustion turbine (Natural Gas)
1_Stony_Brook_Cogen_Plant,Combustion turbine (Natural Gas)
1_Success,Combustion turbine (Natural Gas)
1_Swanton_Peaking_Plant,Combustion turbine (Natural Gas)
1_Sycamore__IA_,Combustion turbine (Natural Gas)
1_Sylvarena,Combustion turbine (Natural Gas)
1_Syracuse_Power_Co_,Combustion turbine (Natural Gas)
1_Talbot_County_Energy,Combustion turbine (Natural Gas)
1_Tenaska_Georgia_Generation_Facility,Combustion turbine (Natural Gas)
1_Thetford,Combustion turbine (Natural Gas)
1_Tilton,Combustion turbine (Natural Gas)
1_Tropicana_Products_Bradent,Combustion turbine (Natural Gas)
1_Troy_Energy_LLC,Combustion turbine (Natural Gas)
1_University_of_Florida,Combustion turbine (Natural Gas)
1_University_Park_North,Combustion turbine (Natural Gas)
1_University_Park_South,Combustion turbine (Natural Gas)
1_US_Gypsum_Oakfield,Combustion turbine (Natural Gas)
1_Vermillion_Energy_Facility,Combustion turbine (Natural Gas)
1_Vernon_Boulevard,Combustion turbine (Natural Gas)
1_Vestaburg,Combustion turbine (Natural Gas)
1_Victoria_Junction,Combustion turbine (Natural Gas)
1_W_NA,Combustion turbine (Natural Gas)
1_W1_NA,Combustion turbine (Natural Gas)
1_W2_NA,Combustion turbine (Natural Gas)
1_Wallingford_Energy,Combustion turbine (Natural Gas)
1_Walton_County_Power_LLC,Combustion turbine (Natural Gas)
1_Warren_F_Sam_Beasley_Generation_Station,Combustion turbine (Natural Gas)
1_Washington_County_Power_LLC,Combustion turbine (Natural Gas)
1_Watchtower_Educational_Center,Combustion turbine (Natural Gas)
1_Waterbury_Generation,Combustion turbine (Natural Gas)
1_Waters_River,Combustion turbine (Natural Gas)
1_Waverly_Municipal_Electric_North_Plant,Combustion turbine (Natural Gas)
1_West_41st_Street,Combustion turbine (Natural Gas)
1_West_Gardner,Combustion turbine (Natural Gas)
1_West_Marinette,Combustion turbine (Natural Gas)
1_West_Marinette_34,Combustion turbine (Natural Gas)
1_West_Point_Municipal,Combustion turbine (Natural Gas)
1_Wheatland_Generating_Facility,Combustion turbine (Natural Gas)
1_Wheaton,Combustion turbine (Natural Gas)
1_Whitemarsh_Central_Utility_Plant,Combustion turbine (Natural Gas)
1_Wichita_Plant,Combustion turbine (Natural Gas)
1_Windsor_Cogeneration,Combustion turbine (Natural Gas)
1_Wolf_Hills_Energy,Combustion turbine (Natural Gas)
1_Yankton,Combustion turbine (Natural Gas)
1_Yellowhead_Power_Station,Combustion turbine (Natural Gas)
1_Zion_Energy_Center,Combustion turbine (Natural Gas)
10_1_Intercession_City,Combustion turbine (Natural Gas)
10_1_Johnsonville,Combustion turbine (Natural Gas)
10_1_PSEG_Linden_Generating_Station,Combustion turbine (Natural Gas)
10_2_,Combustion turbine (Natural Gas)
10_2_NA,Combustion turbine (Natural Gas)
10_Aurora,Combustion turbine (Natural Gas)
10_Chanute_3,Combustion turbine (Natural Gas)
10_Dahlberg,Combustion turbine (Natural Gas)
10_E_W_Brown,Combustion turbine (Natural Gas)
10_George_Johnson,Combustion turbine (Natural Gas)
10_Goodland,Combustion turbine (Natural Gas)
10_Queen_Elizabeth,Combustion turbine (Natural Gas)
10_Rubart,Combustion turbine (Natural Gas)
10_Southeast_Chicago_Energy_Project,Combustion turbine (Natural Gas)
10_Trimble_County,Combustion turbine (Natural Gas)
10_University_Park_North,Combustion turbine (Natural Gas)
100_1_NA,Combustion turbine (Natural Gas)
101_1_NA,Combustion turbine (Natural Gas)
102_1_NA,Combustion turbine (Natural Gas)
103_1_NA,Combustion turbine (Natural Gas)
104_1_NA,Combustion turbine (Natural Gas)
105_1_NA,Combustion turbine (Natural Gas)
106_1_NA,Combustion turbine (Natural Gas)
107_1_NA,Combustion turbine (Natural Gas)
108_1_NA,Combustion turbine (Natural Gas)
109_1_NA,Combustion turbine (Natural Gas)
11_1_Intercession_City,Combustion turbine (Natural Gas)
11_1_Johnsonville,Combustion turbine (Natural Gas)
11_2_,Combustion turbine (Natural Gas)
11_2_NA,Combustion turbine (Natural Gas)
11_Chanute_3,Combustion turbine (Natural Gas)
11_E_W_Brown,Combustion turbine (Natural Gas)
11_Goodland,Combustion turbine (Natural Gas)
11_NRG_Rockford_II_Energy_Center,Combustion turbine (Natural Gas)
11_Queen_Elizabeth,Combustion turbine (Natural Gas)
11_Rubart,Combustion turbine (Natural Gas)
11_Sewell_Creek_Energy,Combustion turbine (Natural Gas)
11_Southeast_Chicago_Energy_Project,Combustion turbine (Natural Gas)
11_University_Park_North,Combustion turbine (Natural Gas)
11_Windsor_Cogeneration,Combustion turbine (Natural Gas)
110_1_NA,Combustion turbine (Natural Gas)
111_1_NA,Combustion turbine (Natural Gas)
112_1_NA,Combustion turbine (Natural Gas)
113_1_NA,Combustion turbine (Natural Gas)
12_1_Johnsonville,Combustion turbine (Natural Gas)
12_2_NA,Combustion turbine (Natural Gas)
12_FirstEnergy_Chambersburg,Combustion turbine (Natural Gas)
12_Goodland,Combustion turbine (Natural Gas)
12_Hancock,Combustion turbine (Natural Gas)
12_Holton,Combustion turbine (Natural Gas)
12_NRG_Rockford_I,Combustion turbine (Natural Gas)
12_Queen_Elizabeth,Combustion turbine (Natural Gas)
12_Rubart,Combustion turbine (Natural Gas)
12_Sabetha_Power_Plant,Combustion turbine (Natural Gas)
12_Sewell_Creek_Energy,Combustion turbine (Natural Gas)
12_Southeast_Chicago_Energy_Project,Combustion turbine (Natural Gas)
12_University_Park_North,Combustion turbine (Natural Gas)
13_1_Johnsonville,Combustion turbine (Natural Gas)
13_2_NA,Combustion turbine (Natural Gas)
13_FirstEnergy_Chambersburg,Combustion turbine (Natural Gas)
13_G_W_Ivey,Combustion turbine (Natural Gas)
13_Goodland,Combustion turbine (Natural Gas)
13_Holton,Combustion turbine (Natural Gas)
13_Paddys_Run,Combustion turbine (Natural Gas)
13_Queen_Elizabeth,Combustion turbine (Natural Gas)
14_2_NA,Combustion turbine (Natural Gas)
14_Chanute_2,Combustion turbine (Natural Gas)
14_G_W_Ivey,Combustion turbine (Natural Gas)
14_Queen_Elizabeth,Combustion turbine (Natural Gas)
15_2_NA,Combustion turbine (Natural Gas)
15_Devon_Station,Combustion turbine (Natural Gas)
15_G_W_Ivey,Combustion turbine (Natural Gas)
15_NA,Combustion turbine (Natural Gas)
15_Queen_Elizabeth,Combustion turbine (Natural Gas)
16_2_NA,Combustion turbine (Natural Gas)
16_Devon_Station,Combustion turbine (Natural Gas)
16_G_W_Ivey,Combustion turbine (Natural Gas)
16_NA,Combustion turbine (Natural Gas)
16_Queen_Elizabeth,Combustion turbine (Natural Gas)
17_2_NA,Combustion turbine (Natural Gas)
17_Devon_Station,Combustion turbine (Natural Gas)
17_G_W_Ivey,Combustion turbine (Natural Gas)
17_NA,Combustion turbine (Natural Gas)
18_2_NA,Combustion turbine (Natural Gas)
18_Devon_Station,Combustion turbine (Natural Gas)
18_NA,Combustion turbine (Natural Gas)
19_2_NA,Combustion turbine (Natural Gas)
19_G_W_Ivey,Combustion turbine (Natural Gas)
1G_Georgetown,Combustion turbine (Natural Gas)
2_1_Allen_Steam_Plant,Combustion turbine (Natural Gas)
2_1_Anadarko_Plant,Combustion turbine (Natural Gas)
2_1_Arvah_B_Hopkins,Combustion turbine (Natural Gas)
2_1_Axiall_Plaquemine,Combustion turbine (Natural Gas)
2_1_Bayou_Cove_Peaking_Power,Combustion turbine (Natural Gas)
2_1_Big_Cajun_1_Peakers,Combustion turbine (Natural Gas)
2_1_Black_Hawk_Station,Combustion turbine (Natural Gas)
2_1_Brentwood,Combustion turbine (Natural Gas)
2_1_Calcasieu,Combustion turbine (Natural Gas)
2_1_Carlls_Corner,Combustion turbine (Natural Gas)
2_1_Coughlin_Power_Station,Combustion turbine (Natural Gas)
2_1_Crossroads_Energy_Center,Combustion turbine (Natural Gas)
2_1_Cunningham,Combustion turbine (Natural Gas)
2_1_Deerhaven_Generating_Station,Combustion turbine (Natural Gas)
2_1_Delaware_City_Plant,Combustion turbine (Natural Gas)
2_1_DeSoto_County_Plant,Combustion turbine (Natural Gas)
2_1_Dickerson,Combustion turbine (Natural Gas)
2_1_East_River,Combustion turbine (Natural Gas)
2_1_East_Windsor_Cogeneration_Centre,Combustion turbine (Natural Gas)
2_1_Elk_Station,Combustion turbine (Natural Gas)
2_1_Empire_Energy_Center,Combustion turbine (Natural Gas)
2_1_Essential_Power_Rock_Springs_LLC,Combustion turbine (Natural Gas)
2_1_ExxonMobil_Baton_Rouge_Cogen,Combustion turbine (Natural Gas)
2_1_ExxonMobil_Beaumont_Refinery,Combustion turbine (Natural Gas)
2_1_Fort_Myers,Combustion turbine (Natural Gas)
2_1_Freeport_Energy,Combustion turbine (Natural Gas)
2_1_Geismar,Combustion turbine (Natural Gas)
2_1_Gordon_Evans_Energy_Center,Combustion turbine (Natural Gas)
2_1_Greenland_Energy_Center,Combustion turbine (Natural Gas)
2_1_Hardee_Power_Station,Combustion turbine (Natural Gas)
2_1_Hardin_County_Peaking_Facility,Combustion turbine (Natural Gas)
2_1_Hargis_Hebert_Electric_Generating,Combustion turbine (Natural Gas)
2_1_Harry_D_Mattison_Gas_Plant,Combustion turbine (Natural Gas)
2_1_Holden,Combustion turbine (Natural Gas)
2_1_Horseshoe_Lake,Combustion turbine (Natural Gas)
2_1_Hutchinson_Energy_Center,Combustion turbine (Natural Gas)
2_1_Indian_River_Plant,Combustion turbine (Natural Gas)
2_1_J_D_Kennedy,Combustion turbine (Natural Gas)
2_1_J_K_Smith,Combustion turbine (Natural Gas)
2_1_John_S_Rainey,Combustion turbine (Natural Gas)
2_1_John_Twitty_Energy_Center,Combustion turbine (Natural Gas)
2_1_Johnsonville,Combustion turbine (Natural Gas)
2_1_Lennox,Combustion turbine (Natural Gas)
2_1_Marshall_Energy_Facility,Combustion turbine (Natural Gas)
2_1_McIntosh,Combustion turbine (Natural Gas)
2_1_McPherson_2,Combustion turbine (Natural Gas)
2_1_Meadow_Lake,Combustion turbine (Natural Gas)
2_1_Midulla_Generating_Station,Combustion turbine (Natural Gas)
2_1_Millbank,Combustion turbine (Natural Gas)
2_1_Narrows_Gas_Turbines_Generating,Combustion turbine (Natural Gas)
2_1_Nearman_Creek,Combustion turbine (Natural Gas)
2_1_Nodaway,Combustion turbine (Natural Gas)
2_1_NRG_Sterlington_Power,Combustion turbine (Natural Gas)
2_1_Oleander_Power_Project_LP,Combustion turbine (Natural Gas)
2_1_Port_Jefferson,Combustion turbine (Natural Gas)
2_1_Portlands_Energy_Centre,Combustion turbine (Natural Gas)
2_1_Procter___Gamble_Mehoopany_Mill,Combustion turbine (Natural Gas)
2_1_PSEG_Burlington_Generating_Station,Combustion turbine (Natural Gas)
2_1_PSEG_Kearny_Generating_Station,Combustion turbine (Natural Gas)
2_1_Riverton,Combustion turbine (Natural Gas)
2_1_Robert_A__Dunford_Generating_Station,Combustion turbine (Natural Gas)
2_1_Saint_John,Combustion turbine (Natural Gas)
2_1_San_Jacinto_County_Peaking_Facility,Combustion turbine (Natural Gas)
2_1_Sarpy_County,Combustion turbine (Natural Gas)
2_1_Shady_Hills_Generating_Station,Combustion turbine (Natural Gas)
2_1_Silver_Creek,Combustion turbine (Natural Gas)
