Generator,Node,Property,value,V1,V2,Band,V3,V4,Timeslice,Action,V5,Scenario,V6,Category
2_High Rock Hydro,339003_HIGH RCK_100,Generation Participation Factor,1,,-,1,,,,=,,,,DUK
2_Highgate Falls,109275_SWANTON_H_7.2,Generation Participation Factor,1,,-,1,,,,=,,,,VT
2_Hodenpyl,256460_HODENPYL   H_7.2,Generation Participation Factor,1,,-,1,,,,=,,,,CONS
2_Hound Chute,152673_HOUND_CHUTEG_4.16,Generation Participation Factor,1,,-,1,,,,=,,,,ONTE
2_Hydro Kennebec Project,100410_HYD KENNEBEC_4.16,Generation Participation Factor,1,,-,1,,,,=,,,,NE-ME
2_International Falls Power,608758_HYDRO  G_6.6,Generation Participation Factor,0.259986459,,-,1,,,,=,,,,MN-NE
2_International Falls Power,608759_IMTRA-1G_6.6,Generation Participation Factor,0.740013541,,-,1,,,,=,,,,MN-NE
2_Island Falls,152621_AP_ILD_FLS34_12.5,Generation Participation Factor,0.294195251,,-,1,,,,=,,,,ONTE
2_Island Falls,152629_AP_ILD_FLS12_12.5,Generation Participation Factor,0.294195251,,-,1,,,,=,,,,ONTE
2_Island Falls,672361_ISLAND2G_6.6,Generation Participation Factor,0.411609499,,-,1,,,,=,,,,SPC
2_Jarvis (Hinckley),147786_JARVIS_4.16,Generation Participation Factor,1,,-,1,,,,=,,,,MHK VL
2_Jenpeg,669769_JENPEG2G_4,Generation Participation Factor,1,,-,1,,,,=,,,,MH
2_Jim Falls,603156_JIMFLS 7_115,Generation Participation Factor,1,,-,1,,,,=,,,,MN-SE
2_John H Kerr,315159_1KERR  2_13.8,Generation Participation Factor,1,,-,1,,,,=,,,,DOM
2_Johnson 2,640015_JOHN.2 G_6.9,Generation Participation Factor,1,,-,1,,,,=,,,,NPPD
2_Kakabeka Falls,151668_MURILLO_DSB2_24.9,Generation Participation Factor,1,,-,1,,,,=,,,,ONTW
2_Kansas River Project,533264_6TH ST 3_115,Generation Participation Factor,1,,-,1,,,,=,,,,WR
2_Kelsey,669751_KELSEY2G_13.8,Generation Participation Factor,1,,-,1,,,,=,,,,MH
2_Kent Falls,131786_KENTSF46_46,Generation Participation Factor,1,,-,1,,,,=,,,,NORTH
2_Keokuk,344861_1KEOK 1-4_13.8,Generation Participation Factor,1,,-,1,,,,=,,,,MISO-MO
2_Keowee,308880_1KEOWEE2_13.8,Generation Participation Factor,1,,-,1,,,,=,,,,DUK
2_Kettle,669731_KETTLE2G_13.8,Generation Participation Factor,1,,-,1,,,,=,,,,MH
2_Keystone Dam,505612_KEY1&2 1_13.8,Generation Participation Factor,1,,-,1,,,,=,,,,SPA+
2_Kilbourn,698301_KIL G1_4,Generation Participation Factor,1,,-,1,,,,=,,,,ATC
2_Kings Falls Hydroelectric,136788_N CARTHG_115,Generation Participation Factor,1,,-,1,,,,=,,,,MHK VL
2_Kinneytown New Old,121073_BEACON FALLS_115,Generation Participation Factor,1,,-,1,,,,=,,,,CT
2_Kipling,152758_KIPLING_GS_13.8,Generation Participation Factor,1,,-,1,,,,=,,,,ONTE
2_La Grande 2A,180049_LG2_13.8,Generation Participation Factor,1,,-,1,,,,=,,,,Quebec
2_La Grande 4,180064_LG4_13.8,Generation Participation Factor,1,,-,1,,,,=,,,,Quebec
2_La Tuque,180023_TUQ        A_11,Generation Participation Factor,1,,-,1,,,,=,,,,Quebec
2_Lachute Hydro Upper,137910_TICN+OTN_115,Generation Participation Factor,1,,-,1,,,,=,,,,CAPITL
2_Lake Lynn Hydro Station,235571_01LAKEL2_11,Generation Participation Factor,1,,-,1,,,,=,,,,PJM-E
2_Leesville,247284_05LEESVG_13.8,Generation Participation Factor,1,,-,1,,,,=,,,,PJM-C
2_Lewis Smith Dam,384142_1SMITH GN_13.8,Generation Participation Factor,1,,-,1,,,,=,,,,SOCO
2_Lighthouse Hill,136712_L.HILL-1_12,Generation Participation Factor,1,,-,1,,,,=,,,,CENTRL
2_Limestone (MH),669711_LIMEST2G_13.8,Generation Participation Factor,1,,-,1,,,,=,,,,MH
2_Little Long,152759_LIT_LONG_GS_13.8,Generation Participation Factor,1,,-,1,,,,=,,,,ONTE
2_Long Spruce,669721_LONGS_2G_13.8,Generation Participation Factor,1,,-,1,,,,=,,,,MH
2_Lookout Shoals,308080_1LOOKOUT_6.6,Generation Participation Factor,1,,-,1,,,,=,,,,DUK
2_Loud,256477_LOUD       H_2.5,Generation Participation Factor,1,,-,1,,,,=,,,,CONS
2_Lower Dam,603088_MAIN ST7_115,Generation Participation Factor,1,,-,1,,,,=,,,,MN-SE
2_Lower Middlebury,109105_MIDDLEBURY_H_6.44,Generation Participation Factor,1,,-,1,,,,=,,,,VT
2_Lower Sturgeon,152736_LOWERSTURGEN_4.16,Generation Participation Factor,1,,-,1,,,,=,,,,ONTE
2_Lyons Falls Hydroelectric,136848_LYNDL MR_115,Generation Participation Factor,1,,-,1,,,,=,,,,MHK VL
2_Mackay,152825_MACKAY_GS_12_12,Generation Participation Factor,1,,-,1,,,,=,,,,ONTE
2_Manitou Falls,151741_MAN_FLS_GS12_13.8,Generation Participation Factor,0.524660472,,-,1,,,,=,,,,ONTW
2_Manitou Falls,151742_MAN_FLS_GS34_13.8,Generation Participation Factor,0.475339528,,-,1,,,,=,,,,ONTW
2_Markham,512634_KERR GR3_115,Generation Participation Factor,1,,-,1,,,,=,,,,CSWS+
2_Markland,251869_08MRKLND_11.5,Generation Participation Factor,1,,-,1,,,,=,,,,IN-C
2_Marshall Dam,304856_1MARSH1&2_4.16,Generation Participation Factor,1,,-,1,,,,=,,,,CPLE
2_Martin Dam,386552_1MART2GEN_12,Generation Participation Factor,1,,-,1,,,,=,,,,SOCO
2_McArthur,669790_MCART12G_6.9,Generation Participation Factor,1,,-,1,,,,=,,,,MH
2_McCormick,180057_MCCA1-2_13.8,Generation Participation Factor,1,,-,1,,,,=,,,,Quebec
2_Mcindoes,106048_MCINDOES FLS_2.4,Generation Participation Factor,1,,-,1,,,,=,,,,NH
2_Michigamme Falls,699106_MCH HG2_4.16,Generation Participation Factor,1,,-,1,,,,=,,,,ATC
2_Middle Falls Hydro,138049_MFHYD_34.5,Generation Participation Factor,1,,-,1,,,,=,,,,CAPITL
2_Middlesex 2,109092_MIDDLESEX_G_2.4,Generation Participation Factor,1,,-,1,,,,=,,,,VT
2_Mill C,131789_MILL C46_46,Generation Participation Factor,1,,-,1,,,,=,,,,NORTH
2_Mill Pond,125040_N.CAT. 1_115,Generation Participation Factor,1,,-,1,,,,=,,,,HUD VL
2_Millers Ferry,385403_1MILERSFY2_13.8,Generation Participation Factor,1,,-,1,,,,=,,,,SOCO
2_Milton,109229_MILTON_G_2.3,Generation Participation Factor,1,,-,1,,,,=,,,,VT
2_Mio,256478_MIO        H_2.5,Generation Participation Factor,1,,-,1,,,,=,,,,CONS
2_Montgomery Worsted,125114_MONTGMRY_69,Generation Participation Factor,1,,-,1,,,,=,,,,HUD VL
2_Morrisville,109008_MORRISVILL 2_2.4,Generation Participation Factor,1,,-,1,,,,=,,,,VT
2_Mountain Island,308179_1MT ISLE_6.6,Generation Participation Factor,1,,-,1,,,,=,,,,DUK
2_Nagagami,152782_NAGAGAMI_CGS_4.16,Generation Participation Factor,1,,-,1,,,,=,,,,ONTE
2_Niagara Mill,699626_LITTLE Q H2_4.16,Generation Participation Factor,1,,-,1,,,,=,,,,ATC
2_Nipawin,672351_NIPAWI2G_13.8,Generation Participation Factor,1,,-,1,,,,=,,,,SPC
2_Norfork,505454_NFK #2 1_13.8,Generation Participation Factor,1,,-,1,,,,=,,,,SPA+
2_North Platte,640018_N.PLATTG_13.8,Generation Participation Factor,1,,-,1,,,,=,,,,NPPD
2_Oahe,652556_OAHE2-3G_13.8,Generation Participation Factor,1,,-,1,,,,=,,,,WAPA_DK
2_Ocoee 1,364468_1OCOEE#1H1-3_2.3,Generation Participation Factor,0.5,,-,1,,,,=,,,,TVAZ
2_Ocoee 1,364469_1OCOEE#1H4-5_2.3,Generation Participation Factor,0.5,,-,1,,,,=,,,,TVAZ
2_Ocoee 2,364470_1OCOEE#2H1-2_6.6,Generation Participation Factor,1,,-,1,,,,=,,,,TVAZ
2_Ogdensburg,136794_OGDENSBG_115,Generation Participation Factor,1,,-,1,,,,=,,,,MHK VL
2_Ohio Falls,324028_1OH FAL_14,Generation Participation Factor,1,,-,1,,,,=,,,,LGEE
2_Old Hickory,364617_1OLDHICKH1-2_13.8,Generation Participation Factor,0.5,,-,1,,,,=,,,,TVAZ
2_Old Hickory,364618_1OLDHICKH3-4_13.8,Generation Participation Factor,0.5,,-,1,,,,=,,,,TVAZ
2_Oliver Dam,383523_1OLIVER 2_7.6,Generation Participation Factor,1,,-,1,,,,=,,,,SOCO
2_Osage Dam,345396_1OSAGE 1&2_13.8,Generation Participation Factor,1,,-,1,,,,=,,,,MISO-MO
2_Oswego Falls West,136537_OSW FALL_34.5,Generation Participation Factor,1,,-,1,,,,=,,,,CENTRL
2_Otis Hydro,100431_VERJAY OTIS_4.16,Generation Participation Factor,1,,-,1,,,,=,,,,NE-ME
2_Otter Rapids (OPG),152789_OTT_RAP_GS-3_13.8,Generation Participation Factor,0.5,,-,1,,,,=,,,,ONTE
2_Otter Rapids (OPG),152790_OTT_RAP_GS-4_13.8,Generation Participation Factor,0.5,,-,1,,,,=,,,,ONTE
2_Otto Holden,152754_O_HOLDEN_G12_13.8,Generation Participation Factor,0.231481481,,-,1,,,,=,,,,ONTE
2_Otto Holden,152755_O_HOLDEN_G34_13.8,Generation Participation Factor,0.231481481,,-,1,,,,=,,,,ONTE
2_Otto Holden,152756_O_HOLDEN_G56_13.8,Generation Participation Factor,0.268518519,,-,1,,,,=,,,,ONTE
2_Otto Holden,152757_O_HOLDEN_G78_13.8,Generation Participation Factor,0.268518519,,-,1,,,,=,,,,ONTE
2_Oxford Dam,308683_1OXFORD2_6.6,Generation Participation Factor,1,,-,1,,,,=,,,,DUK
2_Ozark,505518_OZK1&2 1_13.8,Generation Participation Factor,1,,-,1,,,,=,,,,SPA+
2_Ozark Beach,547648_OZD312 1_4.6,Generation Participation Factor,1,,-,1,,,,=,,,,EDE
2_Peavy Falls,699101_PVY HG2_6.9,Generation Participation Factor,1,,-,1,,,,=,,,,ATC
2_Pensacola,512628_PENSA  2_69,Generation Participation Factor,1,,-,1,,,,=,,,,CSWS+
2_Pine Falls,669779_PINFLS2G_13.8,Generation Participation Factor,1,,-,1,,,,=,,,,MH
2_Piney,200608_26PINEY #1_11.5,Generation Participation Factor,1,,-,1,,,,=,,,,PJM-E
2_Pointe du Bois,669794_PTDB1-4G_6.9,Generation Participation Factor,1,,-,1,,,,=,,,,MH
2_Prairie Du Sac,698176_PDS G1-4_4.16,Generation Participation Factor,0.167714885,,-,1,,,,=,,,,ATC
2_Prairie Du Sac,698177_PDS G5-8_4.16,Generation Participation Factor,0.832285115,,-,1,,,,=,,,,ATC
2_Proctor,108963_PROCTOR EAST_0.48,Generation Participation Factor,1,,-,1,,,,=,,,,VT
2_R.H. Saunders,155724_SAUNDERS_G12_13.8,Generation Participation Factor,0.128444027,,-,1,,,,=,,,,ONTE
2_R.H. Saunders,155725_SAUNDERS_G34_13.8,Generation Participation Factor,0.128444027,,-,1,,,,=,,,,ONTE
2_R.H. Saunders,155726_SAUNDERS_G56_13.8,Generation Participation Factor,0.128444027,,-,1,,,,=,,,,ONTE
2_R.H. Saunders,155727_SAUNDERS_G78_13.8,Generation Participation Factor,0.128444027,,-,1,,,,=,,,,ONTE
2_R.H. Saunders,155728_SAUNDERS_910_13.8,Generation Participation Factor,0.109622154,,-,1,,,,=,,,,ONTE
2_R.H. Saunders,155729_SAUNDERS1112_13.8,Generation Participation Factor,0.128444027,,-,1,,,,=,,,,ONTE
2_R.H. Saunders,155730_SAUNDERS1314_13.8,Generation Participation Factor,0.128444027,,-,1,,,,=,,,,ONTE
2_R.H. Saunders,155731_SAUNDERS1516_13.8,Generation Participation Factor,0.119713682,,-,1,,,,=,,,,ONTE
2_Racine,244761_05RACINE_69,Generation Participation Factor,1,,-,1,,,,=,,,,PJM-C
2_Red Rock Falls,152770_RED_ROCK_GS_13.8,Generation Participation Factor,1,,-,1,,,,=,,,,ONTE
2_Rhodhiss,308084_1RHODHIS_6.6,Generation Participation Factor,1,,-,1,,,,=,,,,DUK
2_Richard B Russell,339102_12RUSS2_13.8,Generation Participation Factor,1,,-,1,,,,=,,,,SOCO
2_Roanoke Rapids,315126_1ROARAP2_14.4,Generation Participation Factor,1,,-,1,,,,=,,,,DOM
2_Robert Moses Niagara,147751_NIAG. 2_13.8,Generation Participation Factor,1,,-,1,,,,=,,,,WEST
2_Robert Moses Power Dam,147763_MOS17-18_13.8,Generation Participation Factor,0.125,,-,1,,,,=,,,,Quebec
2_Robert Moses Power Dam,147765_MOS19-20_13.8,Generation Participation Factor,0.125,,-,1,,,,=,,,,Quebec
2_Robert Moses Power Dam,147766_MOS21-22_13.8,Generation Participation Factor,0.125,,-,1,,,,=,,,,Quebec
2_Robert Moses Power Dam,147768_MOS25-26_13.8,Generation Participation Factor,0.125,,-,1,,,,=,,,,Quebec
2_Robert Moses Power Dam,147770_MOS23-24_13.8,Generation Participation Factor,0.125,,-,1,,,,=,,,,Quebec
2_Robert Moses Power Dam,147771_MOS27-28_13.8,Generation Participation Factor,0.125,,-,1,,,,=,,,,Quebec
2_Robert Moses Power Dam,147772_MOS29-30_13.8,Generation Participation Factor,0.125,,-,1,,,,=,,,,Quebec
2_Robert Moses Power Dam,147774_MOS31-32_13.8,Generation Participation Factor,0.125,,-,1,,,,=,,,,Quebec
2_Robert S Kerr,505584_RSK1&2 1_13.8,Generation Participation Factor,1,,-,1,,,,=,,,,SPA+
2_Rochester 2,149166_STA  6-2_11.5,Generation Participation Factor,1,,-,1,,,,=,,,,GENESE
2_Rochester 5,149150_STA5 11Y_11.5,Generation Participation Factor,1,,-,1,,,,=,,,,GENESE
2_Rocky Creek,307846_1ROCKYCR_2.3,Generation Participation Factor,1,,-,1,,,,=,,,,DUK
2_Rogers,256457_ROGERS     H_7.2,Generation Participation Factor,1,,-,1,,,,=,,,,CONS
2_Ruth Falls,199098_96H-RUTH_FLS_69,Generation Participation Factor,1,,-,1,,,,=,,,,NEW_BRUNSWICK
2_S C Moore,106045_MOORE G2_13.8,Generation Participation Factor,1,,-,1,,,,=,,,,NH
2_Safe Harbor,208913_SAHA 12_13.3,Generation Participation Factor,1,,-,1,,,,=,,,,PJM-E
2_Salisbury,109101_SALISBURY_7.2,Generation Participation Factor,1,,-,1,,,,=,,,,VT
2_Saluda Lexington,370852_1SAL HY2_13,Generation Participation Factor,1,,-,1,,,,=,,,,SCEG
2_Schaghticoke,138006_SCOKE+RR_34.5,Generation Participation Factor,1,,-,1,,,,=,,,,CAPITL
2_Schuylerville,138004_SCHUVL_34.5,Generation Participation Factor,1,,-,1,,,,=,,,,CAPITL
2_Serpent River,152771_SERPENT_RIV_4.16,Generation Participation Factor,1,,-,1,,,,=,,,,ONTE
2_Seven Sisters,669809_7SISTR2G_11,Generation Participation Factor,1,,-,1,,,,=,,,,MH
2_Shawmut,100477_SHAWMUT G1-3_2.4,Generation Participation Factor,1,,-,1,,,,=,,,,NE-ME
2_Sheldon Springs Hydroelectr,109281_SHELDON_G2_4.16,Generation Participation Factor,1,,-,1,,,,=,,,,VT
2_Sherman Island,137959_SHRMAN_G_6.6,Generation Participation Factor,1,,-,1,,,,=,,,,CAPITL
2_Sinclair Dam,383549_1SINCLAIR 2_6.9,Generation Participation Factor,1,,-,1,,,,=,,,,SOCO
2_Sir Adam Beck 2,157662_BECK_#2_GS11_13.8,Generation Participation Factor,0.129171123,,-,1,,,,=,,,,ONTE
2_Sir Adam Beck 2,157663_BECK_#2_GS13_13.8,Generation Participation Factor,0.112486631,,-,1,,,,=,,,,ONTE
2_Sir Adam Beck 2,157664_BECK_#2_GS15_13.8,Generation Participation Factor,0.129171123,,-,1,,,,=,,,,ONTE
2_Sir Adam Beck 2,157665_BECK_#2_GS17_13.8,Generation Participation Factor,0.129171123,,-,1,,,,=,,,,ONTE
2_Sir Adam Beck 2,157666_BECK_#2_GS19_13.8,Generation Participation Factor,0.129171123,,-,1,,,,=,,,,ONTE
2_Sir Adam Beck 2,157667_BECK_#2_GS21_13.8,Generation Participation Factor,0.112486631,,-,1,,,,=,,,,ONTE
2_Sir Adam Beck 2,157668_BECK_#2_GS23_13.8,Generation Participation Factor,0.129171123,,-,1,,,,=,,,,ONTE
2_Sir Adam Beck 2,157669_BECK_#2_GS25_13.8,Generation Participation Factor,0.129171123,,-,1,,,,=,,,,ONTE
2_Skelton,100463_SKELTON HYD2_6.9,Generation Participation Factor,1,,-,1,,,,=,,,,NE-ME
2_Slave Falls,669804_SLVFL12G_6.9,Generation Participation Factor,1,,-,1,,,,=,,,,MH
2_Smith Mountain,246844_05SMG2_13.8,Generation Participation Factor,1,,-,1,,,,=,,,,PJM-C
2_South Edwards,136929_SO EDWAR_34.5,Generation Participation Factor,1,,-,1,,,,=,,,,MHK VL
2_Stevens Creek,370330_3STEV CK_115,Generation Participation Factor,1,,-,1,,,,=,,,,SCEG
2_Stevenson,122625_STEVENSON HY_4.6,Generation Participation Factor,1,,-,1,,,,=,,,,CT
2_Stewarts Bridge,137880_EJW+STWB_115,Generation Participation Factor,1,,-,1,,,,=,,,,CAPITL
2_Stillwater Hydro Electric P,138005_STLWRHYD_34.5,Generation Participation Factor,1,,-,1,,,,=,,,,CAPITL
2_Sturgeon,125203_STURG-G2_6.6,Generation Participation Factor,1,,-,1,,,,=,,,,HUD VL
2_Sturgeon Falls,151750_STURGEON_FLS_6.6,Generation Participation Factor,1,,-,1,,,,=,,,,ONTW
2_Sugar Island,136806_SUGAR IS_115,Generation Participation Factor,1,,-,1,,,,=,,,,MHK VL
2_Table Rock,505476_TBR1&2 1_13.8,Generation Participation Factor,1,,-,1,,,,=,,,,SPA+
2_TalenEnergy Holtwood,208903_HOLT 695_12.47,Generation Participation Factor,1,,-,1,,,,=,,,,PJM-E
2_Tallulah Falls,383543_1TALLULAH 2_6.6,Generation Participation Factor,1,,-,1,,,,=,,,,SOCO
2_Tenkiller Ferry,505568_TEN1&2 1_13.8,Generation Participation Factor,1,,-,1,,,,=,,,,SPA+
2_Thorpe,308600_1THORPE_6.6,Generation Participation Factor,1,,-,1,,,,=,,,,DUK
2_Tobique,190023_TBQG1-2_69,Generation Participation Factor,1,,-,1,,,,=,,,,NEW_BRUNSWICK
2_Toledo Bend,334329_1TOLEDO_13.8,Generation Participation Factor,1,,-,1,,,,=,,,,EES-TX
2_Trenton Falls,137342_TRENTON_46,Generation Participation Factor,1,,-,1,,,,=,,,,MHK VL
2_Tuckertown Hydro,339005_TUCKERTN_100,Generation Participation Factor,1,,-,1,,,,=,,,,DUK
2_Turner Shoals,307599_1TURN HY_2.4,Generation Participation Factor,1,,-,1,,,,=,,,,DUK
2_Tuxedo,307601_1TUX HYD_6.6,Generation Participation Factor,1,,-,1,,,,=,,,,DUK
2_Twin Falls (MI),699107_TWF HG_4.16,Generation Participation Factor,1,,-,1,,,,=,,,,ATC
2_Umbata Falls,151600_UMBATA_FLS_G_13.8,Generation Participation Factor,1,,-,1,,,,=,,,,ONTW
2_Upper Newton Falls,137153_LAWRENCE_13.2,Generation Participation Factor,1,,-,1,,,,=,,,,MHK VL
2_Valerie Falls,151753_VALERIE_FLS_4.16,Generation Participation Factor,1,,-,1,,,,=,,,,ONTW
2_Valley Falls Hydroelectric,137988_JVL+VLYF_34.5,Generation Participation Factor,1,,-,1,,,,=,,,,CAPITL
2_Vernon Dam,109530_VERNON HYD B_2.4,Generation Participation Factor,1,,-,1,,,,=,,,,VT
2_Victory Mills,137964_BK+HV+FM_34.5,Generation Participation Factor,1,,-,1,,,,=,,,,CAPITL
2_Walter Bouldin Dam,386582_1BOULD2GN_13.8,Generation Participation Factor,1,,-,1,,,,=,,,,SOCO
2_Wateree Hydro,307862_1WATEREE_6.6,Generation Participation Factor,1,,-,1,,,,=,,,,DUK
2_Wawaitin,152774_WAWAITIN_GS_4.16,Generation Participation Factor,1,,-,1,,,,=,,,,ONTE
2_Wawatay-Black River,151730_WAWATAY_CGS_4.16,Generation Participation Factor,1,,-,1,,,,=,,,,ONTW
2_Webber,256480_WEBBER    2H_2.5,Generation Participation Factor,1,,-,1,,,,=,,,,CONS
2_Webbers Falls,505556_WEB123 1_13.8,Generation Participation Factor,1,,-,1,,,,=,,,,SPA+
2_Wells,152773_WELLS_GS-2_13.8,Generation Participation Factor,1,,-,1,,,,=,,,,ONTE
2_Weston Hydro,100468_WESTON HYDRO_7.2,Generation Participation Factor,1,,-,1,,,,=,,,,NE-ME
2_Weymouth,199374_16V-WEYMOUTH_69,Generation Participation Factor,1,,-,1,,,,=,,,,NEW_BRUNSWICK
2_Wheeler Dam,364487_1WHEELR H1-2_13.8,Generation Participation Factor,0.187102041,,-,1,,,,=,,,,TVAZ
2_Wheeler Dam,364488_1WHEELR H3-4_13.8,Generation Participation Factor,0.188244898,,-,1,,,,=,,,,TVAZ
2_Wheeler Dam,364489_1WHEELR H5-6_13.8,Generation Participation Factor,0.194666667,,-,1,,,,=,,,,TVAZ
2_Wheeler Dam,364490_1WHEELR H7-8_13.8,Generation Participation Factor,0.194068027,,-,1,,,,=,,,,TVAZ
2_Wheeler Dam,364491_1WHEELRH9-11_13.8,Generation Participation Factor,0.235918367,,-,1,,,,=,,,,TVAZ
2_White Rapids,698556_WHR HG_2.3,Generation Participation Factor,1,,-,1,,,,=,,,,ATC
2_Whitedog Falls,151752_WHITEDOG_GS_13.8,Generation Participation Factor,1,,-,1,,,,=,,,,ONTW
2_Wilbur,364492_1WILBUR H1-3_2.3,Generation Participation Factor,1,,-,1,,,,=,,,,TVAZ
2_Wilder,109573_WILDER_13.8,Generation Participation Factor,1,,-,1,,,,=,,,,VT
2_Williams Hydro,100364_WILLIAMS #2_6.9,Generation Participation Factor,1,,-,1,,,,=,,,,NE-ME
2_Wilson Dam,364494_1WILSON H1-2_12,Generation Participation Factor,0.088582908,,-,1,,,,=,,,,TVAZ
2_Wilson Dam,364495_1WILSON H3-4_12,Generation Participation Factor,0.087529742,,-,1,,,,=,,,,TVAZ
2_Wilson Dam,364496_1WILSON H5-6_12,Generation Participation Factor,0.120840972,,-,1,,,,=,,,,TVAZ
2_Wilson Dam,364497_1WILSON H7-8_12,Generation Participation Factor,0.121855131,,-,1,,,,=,,,,TVAZ
2_Wilson Dam,364498_1WILSON 9-10_13.8,Generation Participation Factor,0.117057378,,-,1,,,,=,,,,TVAZ
2_Wilson Dam,364499_1WILSON11-12_13.8,Generation Participation Factor,0.116082225,,-,1,,,,=,,,,TVAZ
2_Wilson Dam,364500_1WILSON13-14_13.8,Generation Participation Factor,0.116667317,,-,1,,,,=,,,,TVAZ
2_Wilson Dam,364501_1WILSON15-16_13.8,Generation Participation Factor,0.116082225,,-,1,,,,=,,,,TVAZ
2_Wilson Dam,364502_1WILSON17-18_13.8,Generation Participation Factor,0.115302102,,-,1,,,,=,,,,TVAZ
2_Winton,608861_WINTON 9_46,Generation Participation Factor,1,,-,1,,,,=,,,,MN-NE
2_Wolf Creek,364620_1WOLFCR H1-2_13.8,Generation Participation Factor,0.333333333,,-,1,,,,=,,,,TVAZ
2_Wolf Creek,364621_1WOLFCR H3-4_13.8,Generation Participation Factor,0.333333333,,-,1,,,,=,,,,TVAZ
2_Wolf Creek,364622_1WOLFCR H5-6_13.8,Generation Participation Factor,0.333333333,,-,1,,,,=,,,,TVAZ
2_Wreck Cove,199037_85S-WRECK_2_13.8,Generation Participation Factor,1,,-,1,,,,=,,,,NEW_BRUNSWICK
2_Wuskwatim,669766_WUSK  2G_13.8,Generation Participation Factor,1,,-,1,,,,=,,,,MH
2_Wylie,307840_1WYLIE H_6.6,Generation Participation Factor,1,,-,1,,,,=,,,,DUK
2_Wyman Hydro,100361_WYMAN HYD#2_13.8,Generation Participation Factor,1,,-,1,,,,=,,,,NE-ME
20_Beauharnois,180275_BHEA20_13.8,Generation Participation Factor,1,,-,1,,,,=,,,,Quebec
21_Beauharnois,180276_BHEA21_13.8,Generation Participation Factor,1,,-,1,,,,=,,,,Quebec
22_Beauharnois,180277_BHEA22_13.8,Generation Participation Factor,1,,-,1,,,,=,,,,Quebec
23_Beauharnois,180278_BHOA23_13.8,Generation Participation Factor,1,,-,1,,,,=,,,,Quebec
24_Beauharnois,180279_BHOA24_13.8,Generation Participation Factor,1,,-,1,,,,=,,,,Quebec
25_Beauharnois,180280_BHOA25_13.8,Generation Participation Factor,1,,-,1,,,,=,,,,Quebec
26_Beauharnois,180281_BHOA26_13.8,Generation Participation Factor,1,,-,1,,,,=,,,,Quebec
27_Beauharnois,180282_BHOA27_13.8,Generation Participation Factor,1,,-,1,,,,=,,,,Quebec
28_Beauharnois,180283_BHOA28_13.8,Generation Participation Factor,1,,-,1,,,,=,,,,Quebec
29_Beauharnois,180284_BHOA29_13.8,Generation Participation Factor,1,,-,1,,,,=,,,,Quebec
2A_Deerfield 2,113098_DEERFIELD 2G_2.4,Generation Participation Factor,1,,-,1,,,,=,,,,WCMASS
2B_Deerfield 2,113098_DEERFIELD 2G_2.4,Generation Participation Factor,1,,-,1,,,,=,,,,WCMASS
2C_Deerfield 2,113098_DEERFIELD 2G_2.4,Generation Participation Factor,1,,-,1,,,,=,,,,WCMASS
3_Alexander (OPG),151729_ALEXANDER_GS_12,Generation Participation Factor,1,,-,1,,,,=,,,,ONTW
3_Allegan Dam,256463_ALLEGAN    H_4.8,Generation Participation Factor,1,,-,1,,,,=,,,,CONS
3_Anson Abenaki Hydros,100688_MADP ANSONHY_4.16,Generation Participation Factor,0.378082192,,-,1,,,,=,,,,NE-ME
3_Anson Abenaki Hydros,100689_MADP ABENAKI_4.16,Generation Participation Factor,0.621917808,,-,1,,,,=,,,,NE-ME
3_Baldwinsville,136317_BALDW1T9_34.5,Generation Participation Factor,1,,-,1,,,,=,,,,CENTRL
3_Bartletts Ferry,383516_1BARTLFY3_12,Generation Participation Factor,1,,-,1,,,,=,,,,SOCO
3_Beauharnois,180258_BHEA03_13.8,Generation Participation Factor,1,,-,1,,,,=,,,,Quebec
3_Bellows Falls,109550_BELLOWS FALS_6.9,Generation Participation Factor,1,,-,1,,,,=,,,,VT
3_Big Bend Dam,652543_BGBND34G_13.8,Generation Participation Factor,1,,-,1,,,,=,,,,WAPA_DK
3_Big Falls,605024_BIGFALL8_69,Generation Participation Factor,1,,-,1,,,,=,,,,MN-SE
3_Black River,137173_BLACK RI_2.3,Generation Participation Factor,1,,-,1,,,,=,,,,MHK VL
3_Blewett,304892_1BLEW1-3_4.8,Generation Participation Factor,0.555555556,,-,1,,,,=,,,,CPLE
3_Blewett,304893_1BLEW4-6_4,Generation Participation Factor,0.444444444,,-,1,,,,=,,,,CPLE
3_Buford,383509_1BUF DAM 1+3_13.8,Generation Participation Factor,1,,-,1,,,,=,,,,SOCO
3_Bull Shoals,505466_BSH3&4 1_13.8,Generation Participation Factor,1,,-,1,,,,=,,,,SPA+
3_Buzzard Roost,307037_1BUZZHYD_4.16,Generation Participation Factor,1,,-,1,,,,=,,,,DUK
3_C W Tippy,256456_TIPPY      H_7.5,Generation Participation Factor,1,,-,1,,,,=,,,,CONS
3_Cabot,116579_CABOT HYDRO_13.8,Generation Participation Factor,1,,-,1,,,,=,,,,WCMASS
3_Cadyville,131769_CADYVILE_46,Generation Participation Factor,1,,-,1,,,,=,,,,NORTH
3_Cameron Falls,151733_CAMER_FLS234_12,Generation Participation Factor,1,,-,1,,,,=,,,,ONTW
3_Cannelton Hydroelectric Pla,253627_10CAN_G3_6.9,Generation Participation Factor,1,,-,1,,,,=,,,,IN-S
