Generator,Node,Property,value,V1,V2,Band,V3,V4,Timeslice,Action,V5,Scenario,V6,Category
1_Beaumont (HYQU),180221_BOM        A_13.8,Generation Participation Factor,0.5,,-,1,,,,=,,,,Quebec
1_Beaver Dam,505482_BVR #1 1_13.8,Generation Participation Factor,1,,-,1,,,,=,,,,SPA+
1_Beechwood,190470_BCHG1_13.8,Generation Participation Factor,0.4675,,-,1,,,,=,,,,NEW_BRUNSWICK
1_Beechwood,190471_BCHG3_13.8,Generation Participation Factor,0.5325,,-,1,,,,=,,,,NEW_BRUNSWICK
1_Beldens,108949_BELDENS_4.16,Generation Participation Factor,0.850806452,,-,1,,,,=,,,,VT
1_Beldens,108955_BELDENS1_2.4,Generation Participation Factor,0.149193548,,-,1,,,,=,,,,VT
1_Belfort,137172_BELFORT_2.3,Generation Participation Factor,1,,-,1,,,,=,,,,MHK VL
1_Bellows Falls,109550_BELLOWS FALS_6.9,Generation Participation Factor,1,,-,1,,,,=,,,,VT
1_Benton Falls Associates,101062_RICE RIPS_34.5,Generation Participation Factor,1,,-,1,,,,=,,,,NE-ME
1_Berlin Gorham,105193_GLAKES BERLN_23,Generation Participation Factor,0.924365482,,-,1,,,,=,,,,NH
1_Berlin Gorham,105194_GORHAM HYDRO_2.3,Generation Participation Factor,0.075634518,,-,1,,,,=,,,,NH
1_Bersimis 1,180033_BE1_13.8,Generation Participation Factor,0.476655348,,-,1,,,,=,,,,Quebec
1_Bersimis 1,180133_BE1        A_13.8,Generation Participation Factor,0.523344652,,-,1,,,,=,,,,Quebec
1_Bersimis 2,180034_BE2_13.8,Generation Participation Factor,1,,-,1,,,,=,,,,Quebec
1_Big Bend Dam,652542_BGBND12G_13.8,Generation Participation Factor,1,,-,1,,,,=,,,,WAPA_DK
1_Big Falls,605024_BIGFALL8_69,Generation Participation Factor,1,,-,1,,,,=,,,,MN-SE
1_Big Falls (NSPI),199253_3W-BIG_FALL_6.6,Generation Participation Factor,1,,-,1,,,,=,,,,NEW_BRUNSWICK
1_Big Quinnesec 61,699111_OLQ HG1_2.3,Generation Participation Factor,1,,-,1,,,,=,,,,ATC
1_Big Quinnesec 92,699071_NEQ HG1_6.9,Generation Participation Factor,1,,-,1,,,,=,,,,ATC
1_Black Brook Dam,605391_T BEARTG_69,Generation Participation Factor,1,,-,1,,,,=,,,,MN-SE
1_Black River,137173_BLACK RI_2.3,Generation Participation Factor,1,,-,1,,,,=,,,,MHK VL
1_Blake,137158_BLAKE G_6.9,Generation Participation Factor,1,,-,1,,,,=,,,,MHK VL
1_Blakely Mountain,337711_1BLAKELY U1_13.2,Generation Participation Factor,0.5,,-,1,,,,=,,,,EES-ARK
1_Blakely Mountain,337712_1BLAKELY U2_13.2,Generation Participation Factor,0.5,,-,1,,,,=,,,,EES-ARK
1_Blanchard,608849_BLNCHRD9_34.5,Generation Participation Factor,1,,-,1,,,,=,,,,MN-NE
