Collection,Parent Name,Child Name,Parent Category,Child Category
Generator.Fuels,1_Cardinal,Coal_ENC,Boiler (Coal),-
Generator.Fuels,1_Cayuga,Coal_ENC,Boiler (Coal),-
Generator.Fuels,1_Cayuga_Operating_Company,Coal_NE,Boiler (Coal),-
Generator.Fuels,1_Chambers_Cogeneration_LP,Coal_MA,Boiler (Coal),-
Generator.Fuels,1_Charles_R_Lowman,Coal_ESC,Boiler (Coal),-
Generator.Fuels,1_Chester_Operations,Coal_MA,Boiler (Coal),-
Generator.Fuels,1_Cheswick_Power_Plant,Coal_ENC,Boiler (Coal),-
Generator.Fuels,1_Clifty_Creek,Coal_ENC,Boiler (Coal),-
Generator.Fuels,1_Clover,Coal_SA,Boiler (Coal),-
Generator.Fuels,1_Coal_Creek,Coal_WNC,Boiler (Coal),-
Generator.Fuels,1_Coffeen,Coal_ENC,Boiler (Coal),-
Generator.Fuels,1_Columbia__WI_,Coal_ENC,Boiler (Coal),-
Generator.Fuels,1_Colver_Power_Project,Coal_MA,Boiler (Coal),-
Generator.Fuels,1_Cope,Coal_SA,Boiler (Coal),-
Generator.Fuels,1_Courtenay_Bay,Coal_NE,Boiler (Coal),-
Generator.Fuels,1_Coyote,Coal_WNC,Boiler (Coal),-
Generator.Fuels,1_D_B_Wilson,Coal_ESC,Boiler (Coal),-
Generator.Fuels,1_Dallman,Coal_ENC,Boiler (Coal),-
Generator.Fuels,1_Dolet_Hills,Coal_WSC,Boiler (Coal),-
Generator.Fuels,1_Duck_Creek,Coal_ENC,Boiler (Coal),-
Generator.Fuels,1_E_W_Brown,Coal_ESC,Boiler (Coal),-
Generator.Fuels,1_Elizabethtown_Power_LLC,Coal_SA,Boiler (Coal),-
Generator.Fuels,1_Erickson_Station,Coal_ENC,Boiler (Coal),-
Generator.Fuels,1_FirstEnergy_Bruce_Mansfield,Coal_ENC,Boiler (Coal),-
Generator.Fuels,1_FirstEnergy_Fort_Martin_Power_Station,Coal_MA,Boiler (Coal),-
Generator.Fuels,1_FirstEnergy_Harrison_Power_Station,Coal_MA,Boiler (Coal),-
Generator.Fuels,1_FirstEnergy_Pleasants_Power_Station,Coal_MA,Boiler (Coal),-
Generator.Fuels,1_Flint_Creek,Coal_WSC,Boiler (Coal),-
Generator.Fuels,1_Foster_Wheeler_Penn_Resources,Coal_MA,Boiler (Coal),-
Generator.Fuels,1_Gerald_Gentleman,Coal_WNC,Boiler (Coal),-
Generator.Fuels,1_Ghent,Coal_ESC,Boiler (Coal),-
Generator.Fuels,1_Gibson,Coal_ENC,Boiler (Coal),-
Generator.Fuels,1_Grant_Town_Power_Plant,Coal_MA,Boiler (Coal),-
Generator.Fuels,1_Greene_County,Coal_ESC,Boiler (Coal),-
