"Interface","quad.0","I","II","III","IV","Disagreement","Agreement"
"PJM - MISO","66.8%","16.9%","9.5%","5.4%","1.4%","10.9%","22.3%"
"PJM - NYISO","7.3%","63.3%","21.9%","5.4%","2.2%","24%","68.7%"
"NYISO - ISO-NE","11.9%","41.1%","6.9%","17.9%","22.1%","29.1%","59%"
