"Interface","quad.0","I","II","III","IV","Disagreement","Agreement"
"PJM - MISO","5.5%","49%","2.3%","4.5%","38.7%","41%","53.5%"
"PJM - NYISO","2.8%","41.8%","0.8%","3.7%","51%","51.8%","45.4%"
"NYISO - ISO-NE","4.1%","48%","9.5%","10.7%","27.6%","37.1%","58.8%"
