"Interface","intercept","slope","x","xend","y","yend"
"NYISO - ISO-NE",-0.202772290997106,0.00287935154722587,-2864.77818008537,3125.90006170483,-8.45147577628483,8.79779288814614
"PJM - MISO",0.544238298568791,0.00007130456022769,-8196.01832139345,6069.12947247268,-0.0401751834562595,0.976994906568368
"PJM - NYISO",2.97431839580313,0.00104864192072278,-5213.65971156427,6053.85002081508,-2.49294373812661,9.3226393093983
