"Interface","intercept","slope","x","xend","y","yend"
"NYISO - ISO-NE",-1.48378210353873,0.00819426046044296,-2228,2532,-19.7405944094056,19.2640853823029
"PJM - MISO",-1.98860946085098,0.000877760892892533,-4740,7609,-6.14919609316158,4.69027317316831
"PJM - NYISO",-7.26352128171855,0.00794273785095553,-1700,3987,-20.7661756283429,24.4041745300412
