parent.model,child.model,filepointer.scenario,datafileobj.scenario
DAY_AHEAD_JULY,REAL_TIME_JULY HIGH,RT Filepointers July,RT Run
DAY_AHEAD_JULY 100kW_4HR,REAL_TIME_JULY 100kW_4HR HIGH,RT Filepointers July 100kW 4hr,RT Run
DAY_AHEAD_JULY 100kW_2HR,REAL_TIME_JULY 100kW_2HR HIGH,RT Filepointers July 100kW 2hr,RT Run
DAY_AHEAD_JULY 10MW,REAL_TIME_JULY 10MW HIGH,RT Filepointers July 10MW,RT Run
DAY_AHEAD_JULY,REAL_TIME_JULY LOW,RT Filepointers July,RT Run
DAY_AHEAD_JULY 100kW_4HR,REAL_TIME_JULY 100kW_4HR LOW,RT Filepointers July 100kW 4hr,RT Run
DAY_AHEAD_JULY 100kW_2HR,REAL_TIME_JULY 100kW_2HR LOW,RT Filepointers July 100kW 2hr,RT Run
DAY_AHEAD_JULY 10MW,REAL_TIME_JULY 10MW LOW,RT Filepointers July 10MW,RT Run
