"Interface","quad.0","I","II","III","IV","Underutilized","Counterintuitive"
"PJM - MISO","6.2%","24.3%","49.5%","4.9%","15.1%","64.6%","29.2%"
"PJM - NYISO","4%","11.5%","10.2%","17.6%","56.6%","66.8%","29.2%"
"NYISO - ISO-NE","8.5%","54.3%","18.1%","8.9%","10.2%","28.3%","63.2%"
