"Interface","quad.0","I","II","III","IV","Underutilized","Counterintuitive"
"PJM - MISO","6%","25.9%","57.7%","3.6%","6.8%","64.5%","29.5%"
"PJM - NYISO","11.5%","5.8%","19.5%","13.5%","49.7%","69.2%","19.3%"
"NYISO - ISO-NE","14.5%","22.9%","6.9%","33.9%","21.9%","28.7%","56.8%"
